"scientific_name","scientific_name_clean","join_name","match_status","Sequence","Species1","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","source","Species2","Family2","Order2","Avibase.ID2","Species3","Family3","Order3","Species.Status"
"Fulica atra","fulica atra","fulica atra","exact","1885","Fulica atra","Rallidae","Gruiformes","AVIBASE-B682B2A9","9","5","4","0","4","37.7","16.5","5.6","10.5","57","198.2","78.6","120","39.6","53.9","717.12","Dunning","NA","NO","NA","NA","Wetland","3","1","Herbivore","Herbivore aquatic","Generalist","-46.68","66.41","36.450000000000003","81.739999999999995","33490842.859999999","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Hirundo neoxena","hirundo neoxena","hirundo neoxena","exact","7710","Hirundo neoxena","Hirundinidae","Passeriformes","AVIBASE-F8F6B795","11","5","6","0","4","11.5","5.7","4.5","2.7","10.7","111.5","57.6","53.5","51.8","77.7","14.7","Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Aerial","-51.08","-13.52","-30.61","139.69","4216129","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Aythya australis","aythya australis","aythya australis","exact","483","Aythya australis","Anatidae","Anseriformes","AVIBASE-ABEF107C","5","2","3","0","4","45.6","29.1","20.3","15.5","33.7","213.6","100.1","113.2","47","56","869.41","Dunning","NA","NO","NA","NA","Wetland","3","1","Carnivore","Aquatic predator","Aquatic","-43.64","-10.69","-25.55","135.33000000000001","6825013.8899999997","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Sturnus vulgaris","sturnus vulgaris","sturnus vulgaris","exact","8683","Sturnus vulgaris","Sturnidae","Passeriformes","AVIBASE-94A44032","28","11","17","0","10","30.2","18.5","6.6","6.5","29","128.3","49.2","79.1","38.4","65.8","77.14","Dunning","NA","NO","NA","NA","Human Modified","3","2","Omnivore","Omnivore","Insessorial","24.55","71.19","50.32","52.41","17082191.68","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Microcarbo melanoleucos","microcarbo melanoleucos","microcarbo melanoleucos","exact","2291","Microcarbo melanoleucos","Phalacrocoracidae","Suliformes","AVIBASE-DF8F84C3","8","4","2","2","4","37.4","27.5","7.6","11.4","37.6","218.8","80.5","138.2","36.8","153","727.36","Dunning","NA","NO","NA","NA","Wetland","3","1","Carnivore","Aquatic predator","Aquatic","-47.29","8.09","-23.55","144.12","3114425.13","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Ptilotula penicillata","ptilotula penicillata","ptilotula penicillata","exact","6137","Ptilotula penicillata","Meliphagidae","Passeriformes","AVIBASE-CE7BDFB9","23","8","14","1","4","16.2","7.2","2.8","3.4","19.8","79","17","62.7","21.4","70","19.36","Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Omnivore","Insessorial","-39.479999999999997","-17.09","-26.17","135.61000000000001","4922061.09","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Tachybaptus novaehollandiae","tachybaptus novaehollandiae","tachybaptus novaehollandiae","exact","550","Tachybaptus novaehollandiae","Podicipedidae","Podicipediformes","AVIBASE-1ABF840F","6","2","2","2","1","23","11.6","4.7","6.4","34.7","102","32.2","69.8","31.5","26.7","219","Dunning","NA","NO","NA","NA","Wetland","3","1","Carnivore","Aquatic predator","Aquatic","-44.83","4.55","-24.57","142.28","3147780.83","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthiza pusilla","acanthiza pusilla","acanthiza pusilla","exact","6224","Acanthiza pusilla","Acanthizidae","Passeriformes","AVIBASE-8F6C8E9E","17","5","12","0","4","11.2","5.3","2.1","2.6","18.7","51.8","7.6","44.1","14.6","43.4","7.62","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-43.64","-20","-32.24","147.72","1131818.69","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Trichoglossus haematodus","trichoglossus haematodus","trichoglossus haematodus","exact","4392","Trichoglossus haematodus","Psittacidae","Psittaciformes","AVIBASE-BA1FA66D","4","2","2","0","4","21.3","18.2","11.6","20.7","18.8","155.2","77.2","78.1","49.7","136.2","113.25","Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Omnivore","Insessorial","-22.71","0.04","-5.75","142.31","875500.13","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Chroicocephalus novaehollandiae","chroicocephalus novaehollandiae","chroicocephalus novaehollandiae","exact",NA,NA,NA,NA,NA,"10","4","4","2","8","39.6","17.5","5.3","10.2","44.3","277.3","146.5","129.8","53","107.6","269","Dunning","NA","NO","NA","NA","Coastal","3","1","Carnivore","Omnivore","Generalist",NA,NA,NA,NA,NA,"AVONET2_eBird","Chroicocephalus novaehollandiae","Laridae","Charadriiformes","AVIBASE-AD086862",NA,NA,NA,NA
